"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.0720355168307893,8.29800000000978," ",12,0.8
3,0.0152333871726755,8.42600000000675,"BEST",12,0.8
4,0.0769271549599441,8.08699999999953," ",12,0.8
5,0.117258379291793,7.90700000000652," ",12,0.8
2,0.0726459776957586,8.44099999999162," ",13,0.8
3,0.0143840038154435,8.69700000001467,"BEST",13,0.8
4,0.0772559095323794,8.02100000000792," ",13,0.8
5,0.117183479718932,7.61100000000442," ",13,0.8
2,0.0711236509886922,8.36899999997695," ",14,0.8
3,0.0162952343424782,9.67299999998068,"BEST",14,0.8
4,0.0776350411536473,8.03500000000349," ",14,0.8
5,0.112672329223388,7.67399999999907," ",14,0.8
2,0.0677396373068629,8.42300000000978," ",15,0.8
3,0.0167077683125007,8.4440000000177,"BEST",15,0.8
4,0.0790541434804114,8.25," ",15,0.8
5,0.109268085902745,7.59600000001956," ",15,0.8
2,0.0700445088566462,8.5909999999858," ",16,0.8
3,0.0163058409240363,8.53899999998976,"BEST",16,0.8
4,0.0787922279353725,7.99299999998766," ",16,0.8
5,0.109647986360563,7.63800000000629," ",16,0.8
2,0.0739490450548109,8.35400000002119," ",17,0.8
3,0.0172332729060728,8.42600000000675,"BEST",17,0.8
4,0.0821706185797933,8.02899999998044," ",17,0.8
5,0.109760645979944,7.64199999999255," ",17,0.8
2,0.0767385620015828,8.5," ",18,0.8
3,0.0177984059413736,8.44800000000396,"BEST",18,0.8
4,0.0832937815520315,8.01799999998184," ",18,0.8
5,0.109398858270345,8.12200000000303," ",18,0.8
2,0.0770065389727133,8.30600000001141," ",19,0.8
3,0.0174804473375431,8.38800000000629,"BEST",19,0.8
4,0.0807137396598622,8.1820000000007," ",19,0.8
5,0.109014152342697,7.81499999997322," ",19,0.8
2,0.0692429396229693,8.36100000000442," ",20,0.8
3,0.0149121618993221,8.43100000001141,"BEST",20,0.8
4,0.0827761429246788,8.05999999999767," ",20,0.8
5,0.110617982879884,7.63100000002305," ",20,0.8
2,0.0755271218754723,8.49300000001676," ",21,0.8
3,0.0156683266163161,8.44800000000396,"BEST",21,0.8
4,0.0847316548587368,8.21500000002561," ",21,0.8
5,0.108214469448764,7.61600000000908," ",21,0.8
2,0.0731004447553962,8.43400000000838," ",22,0.8
3,0.0148916024363337,8.57200000001467,"BEST",22,0.8
4,0.086163407948262,8.11600000000908," ",22,0.8
5,0.109334678753418,7.89600000000792," ",22,0.8
2,0.0730652917607628,8.39300000001094," ",23,0.8
3,0.014949207090701,8.6940000000177,"BEST",23,0.8
4,0.0851850824919259,8.06700000001001," ",23,0.8
5,0.109801878618752,7.64699999999721," ",23,0.8
2,0.0791139784963862,8.35699999998906," ",24,0.8
3,0.0149647211357954,8.53800000000047,"BEST",24,0.8
4,0.0841296531827542,8.23099999999977," ",24,0.8
5,0.108284439518765,7.89199999999255," ",24,0.8
2,0.080190932241159,8.86300000001211," ",25,0.8
3,0.0136332880909114,8.57399999999325,"BEST",25,0.8
4,0.0832486168799957,8.07099999999627," ",25,0.8
5,0.108805230447785,7.61500000001979," ",25,0.8
2,0.0312351046965012,8.44100000002072," ",1,1
3,0.0210204992537946,8.42499999998836,"BEST",1,1
4,0.0812384335322881,8.08199999999488," ",1,1
5,0.11434991641408,7.63000000000466," ",1,1
2,0.0299160001426988,8.5," ",2,1
3,0.0231707948316653,8.40600000001723,"BEST",2,1
4,0.0789700230789922,8.05400000000373," ",2,1
5,0.113914965855404,7.61800000001676," ",2,1
2,0.0278177821275675,8.47299999999814," ",3,1
3,0.0206357718569524,8.40700000000652,"BEST",3,1
